,one,three,seven,fourteen,twenty_eight,three_months,six_months,nine_months,twelve_months
five %,0.04162253807608485,0.052185325686035657,0.07547390830110494,0.11822370947092227,0.23259026898493676,1.129054246202956,3.5788290244102727,5.867550470661509,10.370594008320557
ten %,0.041435297359481364,0.05114042216273406,0.07363848326819163,0.11539165777864811,0.22737005326491375,1.1195136065080908,3.6014336817492167,5.873142412801266,10.420777063212595
twenty %,0.041118174339082283,0.05020608366544355,0.07103513414938888,0.10840155426937907,0.2163600514098195,1.1011356673929236,3.627269938453199,5.871078124601697,10.499875733025613
thirty %,0.040822080357102525,0.04952796944358213,0.06901262342668489,0.10358385928948566,0.20822304223246815,1.0757550202711605,3.668160430945573,5.907085890185366,10.665846522488792
fourty %,0.040387066985479995,0.0487450755662771,0.06703599849177748,0.09911866092388656,0.20057380264927374,1.0606347380223453,3.7225026242657346,5.961942558907423,10.837982161687469
