,date,one,three,seven,fourteen,twenty_eight,three_months,six_months,nine_months,twelve_months
0,2015-08-07,0.10814241289585581,-0.7167968997905693,-0.28170019673795765,-0.41394300945611473,-0.49826664339658555,-0.6411229929555119,0.019527035603224007,2.8909730595925622,3.330099320936727
1,2015-08-08,-0.012017209416209127,-0.009287488194760267,1.522494665780545,0.9536045332120745,0.7916821154989678,0.2924299555773198,2.5451677218510613,12.033894155094616,14.193535975375143
2,2015-08-09,0.13477306573043804,0.6827163770619735,1.677009048126881,1.185345944236329,1.1265561649801095,0.45529894737845905,3.031224222851249,13.896748364169227,16.345289427216855
3,2015-08-10,0.1123893638480174,0.9201126077298422,1.4840152950454488,1.113892790151851,1.0358308747521785,0.6220823004150525,3.6705187056394983,13.914931521052683,16.712152774504908
4,2015-08-11,0.5963421713269054,1.7304349137183654,0.832382187309174,0.8524504888915693,0.8796505009536589,0.5096609798940044,3.7871267348677313,12.996019510429937,17.43961793331172
5,2015-08-12,0.38323781586404837,1.040373106626468,0.3206421852224064,0.2820051425519009,0.4026016061420902,0.06528686929045467,3.5275167268743606,9.673771627237418,12.737087034069406
6,2015-08-13,0.5451667676345361,0.43717096562257346,0.06756883591156909,-0.0018600841304107292,0.03039275079138899,-0.3204250889512709,2.8369098712446346,7.528323620508706,8.973549262365719
7,2015-08-14,0.027434107422709828,-0.09890867644963666,-0.15798831742413455,-0.34596951132639986,-0.3361048582419148,-0.4827057985468015,2.3886023650092603,4.734321128365864,5.707736144749965
8,2015-08-15,0.07216514532330136,-0.2264064469312149,-0.11119810564106482,-0.24026403900749854,-0.3715846159721957,-0.4236279265172059,2.6187920915606817,5.6869724630485425,6.373295649849138
9,2015-08-16,0.45088593424541906,0.07076462869674538,0.2616878171424377,0.08550114240096902,-0.04407190244171004,-0.18222717721437676,3.9589653242308294,8.3948486433415,9.278580670025052
10,2015-08-17,0.025275448394553448,0.055545244402449845,0.13519327787807717,0.11476875833094297,-0.20650108829534145,-0.23552229739990216,3.497047260701571,7.409992069785884,8.472978217220374
11,2015-08-18,0.0734832804378823,0.35920150867025424,0.13022400073593662,0.24509452187111902,-0.19489535899912613,-0.14912101559265908,3.9016328595740766,9.296858470171564,9.24166321696334
12,2015-08-19,0.07219798959663384,0.19654992158912704,-0.029256253588475795,0.15822714301629054,-0.19277334544488536,-0.1488658274275235,2.675601792738211,9.437044210021165,8.210064014122526
13,2015-08-20,0.18359728597406136,0.10147156601219234,-0.06290003444601983,0.037538150969695615,-0.2735374460278932,-0.20797144985700897,2.0237997965281616,9.848733908501758,7.608541010790416
14,2015-08-21,0.03214813719692492,-0.005329686575990492,-0.15164104080425791,-0.06495416913069182,-0.3535082791247783,-0.29351345357776465,2.241269958604376,9.979597871082198,6.946555292726197
15,2015-08-22,0.016500576633054303,-0.09172161930390049,-0.11765532128810961,-0.05331637933583714,-0.37191131679332884,-0.31339415087086386,2.4614247272082084,9.120427595588017,7.319262501108909
16,2015-08-23,0.0368478235742851,-0.127125761883847,-0.08844402320904328,0.031007035144902276,-0.32099601624324814,-0.2450395678741226,2.3600329796497066,9.818943264214768,7.618707475130416
17,2015-08-24,-0.002160370999049848,-0.04991594045172876,0.07318459801668188,0.052490517920521056,-0.23534561875137058,-0.21423164699862746,2.7887303353448063,10.597618718883753,8.045132261810975
18,2015-08-25,0.003668099056394837,0.016843131174411885,0.1992025871616534,0.10454968324990042,-0.1854543038142914,-0.16143888716608332,4.0369290745581,10.788774199264608,8.767687059761663
19,2015-08-26,0.10169236130077315,0.12403115376284332,0.27286853827825536,0.16718307073637012,-0.1490539916935856,-0.1582202424116855,4.277728073232062,11.048256312215702,9.388951150372469
20,2015-08-27,0.009118166870367268,0.04018324262061574,0.13883881859508143,0.06183119520966523,-0.21146233590377114,-0.2409385468965699,4.43987021779845,10.005196563761222,8.981974694229264
21,2015-08-28,0.06517626059794727,0.17927710843373487,0.12889781347612678,0.039687639446675596,-0.26815618027666227,-0.2127621597501116,4.388514056224899,10.0570281124498,9.079428826416779
22,2015-08-29,0.029143359228875492,0.17746130892830744,0.11402448042175228,-0.14115999269241133,-0.3582980278210336,-0.2447937781102923,4.187587538821564,8.859328919781817,8.697344039530575
23,2015-08-30,0.12879609776099646,0.1545860705102468,0.143002366287662,-0.11005373266929208,-0.32404729158302076,-0.21908748430305566,4.47194197896823,9.346913147845996,8.32428392034922
24,2015-08-31,0.1269514825022274,0.07841733207883378,0.07900850117817516,-0.21685414775896947,-0.3974113454509121,-0.26732416882457255,4.375184219948211,9.262445774806206,8.15238008009925
25,2015-09-01,0.0111773639675901,-0.05364236924204894,-0.06731855487307628,-0.3452271758078152,-0.5665113008087503,-0.34288771013668706,3.72779303172905,8.53405205629082,7.408160822366699
26,2015-09-02,0.024173269440622466,0.012604576868940743,-0.019982287169268337,-0.25513039490123524,-0.4771615188752353,-0.3095388337998767,5.035828944663218,10.157343707991332,8.228463886384842
27,2015-09-03,0.044507567938036265,0.10485289381765923,-0.0028240423441202767,-0.25116223380097935,-0.3936508591859822,-0.3240910629794473,5.971165041328455,10.553553586616351,8.879358892843282
28,2015-09-04,0.03537325862501108,0.04777613376347223,-0.058084911991332464,-0.29287926197233205,-0.44718105448694623,-0.3434060203264851,6.471284999312749,10.11156927903235,8.79366272911765
29,2015-09-05,0.05256491948489201,-0.019304745946711353,-0.22338281452811934,-0.33164751138696813,-0.46602553512850164,-0.338261786200332,7.157946491083158,9.906552128320707,8.246532776374892
