,one,three,seven,fourteen,twenty_eight,three_months,six_months,nine_months,twelve_months
five %,0.02554480067615515,0.029389083690329644,0.03919182907771515,0.058469799720658966,0.10725943922202412,0.4038336585751142,0.9760025237349459,1.6889945637024448,2.340781709292937
ten %,0.025785799750035063,0.02984190413787521,0.0394224386459287,0.056173477800242226,0.09972513123663425,0.3883088205643357,0.9556312202332357,1.6229673354584537,2.2842148340250508
twenty %,0.025928120852189356,0.029945621842195343,0.03880765652168442,0.053934367048491846,0.09364671617872579,0.3630451093534808,0.9122967586781873,1.5457313412518756,2.2112443865953884
thirty %,0.025935161921127107,0.02972323638086181,0.03786196484707697,0.05164831370465692,0.0876142455232288,0.33561654838782834,0.8673385350124481,1.4519363075087153,2.081819536000418
fourty %,0.02575021170618886,0.029219234399616614,0.0366757043194766,0.04941704073043047,0.08282949905635612,0.31436298933971735,0.8316105652717346,1.385901143890787,1.9818814048394875
