,date,one,three,seven,fourteen,twenty_eight
0,2016-01-12,-0.008716307070651953,-0.020966006174904114,-0.11911376248233875,-0.10874338199994998,-0.15033183852421161
1,2016-01-13,0.01867859759732166,-0.14162561286203323,-0.10435794676788164,-0.0760761751283446,-0.11406478608435053
2,2016-01-14,0.005752083114211819,-0.09421402610758575,-0.01779850179387397,-0.07683390012738268,-0.10797368205775462
3,2016-01-15,-0.003639973527465147,0.04549830171032265,0.12197056297892596,0.04000142207831279,0.03826484567715546
4,2016-01-16,0.09191522453326725,0.09087835362932999,0.077703330947779,0.06919986250190188,0.08269327217297709
5,2016-01-17,0.005806488955305541,0.00014996369300068502,0.019466339728276317,-0.00483304042179259,0.03096092524967647
6,2016-01-18,0.027884194177850305,0.1156598038044416,0.06983924707631445,-0.02096823437271853,0.08114637675387944
7,2016-01-19,0.003105770347149713,0.08256546657800583,0.03365420136580016,-0.01561065197428833,0.05597511161774491
8,2016-01-20,0.11585532622232143,0.015647943834157896,0.04130122491031583,-0.005711645543402958,0.08202092942360445
9,2016-01-21,0.009751415210435611,-0.04629337927639681,-0.0278808761998524,-0.0894683731233079,0.024666502584297294
10,2016-01-22,0.01921221907792017,0.07378184938259769,0.01334196684093563,0.03813665456909741,0.12548163780836813
11,2016-01-23,0.014424801233569186,0.025511740112728134,-0.006563153664711085,0.011958709988193088,0.10158620454944102
12,2016-01-24,0.03994931495183119,0.012031247177353887,-0.02383539230588579,-0.0283077542446147,0.12819136444459356
13,2016-01-25,0.008163601455653592,0.016517652630007686,-0.05092471059363687,-0.030713877607745563,0.12931021170802523
14,2016-01-26,0.00404019714523467,-0.026335530947961344,-0.0448543813608142,-0.04385329322153232,0.12077833962747232
15,2016-01-27,0.008142283208519018,-0.03141543000954611,-0.04424399283274884,-0.04020858538677118,0.07390334420672723
16,2016-01-28,0.0014589121360948389,-0.003897454804008106,-0.025770603183799232,0.005040357091129307,0.11908304475489478
17,2016-01-29,0.03836892396265444,0.009070958703194942,0.06606065912896905,0.03886146470671935,0.16169565360156735
18,2016-01-30,0.0046853709650430155,-0.00912372407308542,0.026715114039910632,0.020643255748477366,0.14784151546783325
19,2016-01-31,0.0025337447496840064,0.01797816955972107,0.023616567210841852,0.0653146111707696,0.17585058518085564
20,2016-02-01,0.01385759749101115,0.005413676054539032,0.023543511877746615,0.10673258016561725,0.1781376628247323
21,2016-02-02,0.004097393542850915,0.044712002574278605,0.0014131717258392866,0.07311219564517855,0.17370213450606023
