,one,three,seven,fourteen,twenty_eight
five %,0.043110673783865024,0.05451819051856093,0.07920964073524113,0.12583257285656976,0.2395401268954362
ten %,0.0430080810815753,0.053659792740224144,0.07767355532903861,0.12388716776809042,0.23543991462901018
twenty %,0.042649623005061206,0.052727076211892036,0.07526295634832403,0.11723143875443007,0.22537944035117244
thirty %,0.04232777069152023,0.05205207290658994,0.07336394744859613,0.11255052661791619,0.21772832647081716
fourty %,0.04183438273426599,0.05124322972002282,0.07143235816855147,0.10820624506923629,0.21061669733600596
