,date,one,three,seven,fourteen,twenty_eight
0,2015-08-07,0.10814241289585581,-0.7167968997905693,-0.28170019673795765,-0.41394300945611473,-0.49826664339658555
1,2015-08-08,-0.012017209416209127,-0.009287488194760267,1.522494665780545,0.9536045332120745,0.7916821154989678
2,2015-08-09,0.13477306573043804,0.6827163770619735,1.677009048126881,1.185345944236329,1.1265561649801095
3,2015-08-10,0.1123893638480174,0.9201126077298422,1.4840152950454488,1.113892790151851,1.0358308747521785
4,2015-08-11,0.5963421713269054,1.7304349137183654,0.832382187309174,0.8524504888915693,0.8796505009536589
5,2015-08-12,0.38323781586404837,1.040373106626468,0.3206421852224064,0.2820051425519009,0.4026016061420902
6,2015-08-13,0.5451667676345361,0.43717096562257346,0.06756883591156909,-0.0018600841304107292,0.03039275079138899
7,2015-08-14,0.027434107422709828,-0.09890867644963666,-0.15798831742413455,-0.34596951132639986,-0.3361048582419148
8,2015-08-15,0.07216514532330136,-0.2264064469312149,-0.11119810564106482,-0.24026403900749854,-0.3715846159721957
9,2015-08-16,0.45088593424541906,0.07076462869674538,0.2616878171424377,0.08550114240096902,-0.04407190244171004
10,2015-08-17,0.025275448394553448,0.055545244402449845,0.13519327787807717,0.11476875833094297,-0.20650108829534145
11,2015-08-18,0.0734832804378823,0.35920150867025424,0.13022400073593662,0.24509452187111902,-0.19489535899912613
12,2015-08-19,0.07219798959663384,0.19654992158912704,-0.029256253588475795,0.15822714301629054,-0.19277334544488536
13,2015-08-20,0.18359728597406136,0.10147156601219234,-0.06290003444601983,0.037538150969695615,-0.2735374460278932
14,2015-08-21,0.03214813719692492,-0.005329686575990492,-0.15164104080425791,-0.06495416913069182,-0.3535082791247783
15,2015-08-22,0.016500576633054303,-0.09172161930390049,-0.11765532128810961,-0.05331637933583714,-0.37191131679332884
16,2015-08-23,0.0368478235742851,-0.127125761883847,-0.08844402320904328,0.031007035144902276,-0.32099601624324814
17,2015-08-24,-0.002160370999049848,-0.04991594045172876,0.07318459801668188,0.052490517920521056,-0.23534561875137058
18,2015-08-25,0.003668099056394837,0.016843131174411885,0.1992025871616534,0.10454968324990042,-0.1854543038142914
19,2015-08-26,0.10169236130077315,0.12403115376284332,0.27286853827825536,0.16718307073637012,-0.1490539916935856
