,one,three,seven,fourteen,twenty_eight
five %,0.02745169522335676,0.03176325974540968,0.04261229428374359,0.06329301237318873,0.11170379883456581
ten %,0.027658860285084262,0.032075306292805666,0.04238072119897548,0.060698256604422816,0.10422748091783907
twenty %,0.027731618435326445,0.03209996591757941,0.041648475428911334,0.05890328990517594,0.0994202369968496
thirty %,0.027658751476560318,0.03175990377230662,0.040553838463464185,0.05638789581649922,0.09379181343586725
fourty %,0.027426802843361974,0.03122312812828418,0.0393663040590555,0.053999340056832726,0.08914925091410665
