,date,one,three,seven,fourteen,twenty_eight,three_months,six_months,nine_months,twelve_months
120,2016-06-28,0.038931558286397064,0.061452466291176004,-0.022239289981225478,-0.10846560846560853,0.17904932582351943,0.09778972520907998,-0.3790433521078682,3.242225635774023,24.00785048643113
121,2016-06-29,0.07851678162493372,0.04540708918821776,-0.09495609906378903,-0.10087801872421988,0.031244116589932737,0.12169031440943405,-0.38821520872199494,3.327562770636863,27.100535454498775
122,2016-06-30,0.015056799634393148,-0.01083763138995898,-0.14017921263955088,-0.13520108376313905,0.05920709016125875,0.0835019912515505,-0.3847416269504472,3.3354197949990203,23.739832212574264
123,2016-07-01,0.04112157497762815,-0.0031874547236544833,-0.13791281373844122,-0.019976988963224876,0.09399582392295565,0.11441598840925565,-0.2934861720714194,3.410764051646994,24.00132074828483
124,2016-07-02,0.014275911700222467,-0.041237803551405064,-0.044559923683285686,-0.0025773627219628998,0.07089421097554845,0.10485180164348715,-0.31790681327509174,3.18685034560091,22.022458703620025
125,2016-07-03,0.009232813592082157,-0.08743560759679363,-0.054249251451795245,0.002968306425865664,0.0733965536581788,0.13729280099403743,-0.3112226143531422,3.37811391738789,23.886660827846857
126,2016-07-04,0.005961631327099508,-0.07494622239782257,-0.039369594802230075,-0.019008736116598614,0.04436542429430616,0.15922560252864476,-0.2825962509328767,3.2865095921682257,23.776417753193734
127,2016-07-05,0.10437686528978951,0.056289198497116825,0.09092693807394532,0.15354010856012684,0.14329602579712744,0.4045671274589454,-0.12548531472620833,3.5865295010787097,27.518335863896763
128,2016-07-06,0.024813244105517135,0.11058477939459972,0.021963271340751822,0.12736362928954947,-0.13656524784063498,0.2920589837366743,-0.055590031904131976,3.3441267216559027,25.151467006458642
129,2016-07-07,0.031835490619909146,0.11804194748454842,0.08096225624055792,0.27102245080947984,0.05179833952348261,0.3287790427829253,0.1513371640513668,3.6128259009038874,26.577702201625797
130,2016-07-08,0.14621041916384078,0.09836506626671739,0.1543820761630558,0.2706725855966014,0.10618536209274738,0.2901580723723706,0.03258021575583819,3.303180621728577,23.684628149450973
131,2016-07-09,0.02152010811314601,-0.02632927909035842,0.11089985553846869,0.36683908849433805,0.017447224940584434,0.1812293210308029,-0.045538002702828644,2.895652267114031,22.470059741833264
132,2016-07-10,0.014737252137782729,-0.025560646250301328,0.07802674778802103,0.32587041605609246,0.007141399714344008,0.13294132922780144,-0.08436311698911171,3.1068055684368683,21.538164938509766
133,2016-07-11,0.01820627278220696,0.03281612444201872,0.08896512738543116,0.24202257265940239,0.06367322274419618,0.17548390869573707,0.00522406970624366,3.218007348784625,19.616069277402
134,2016-07-12,0.007750004795795045,0.10294653647681709,0.05954459130234602,0.3251836789502964,0.08141341671622311,0.12820119319380754,-0.005400065222812661,3.172475973066814,17.910011030328608
135,2016-07-13,0.018550735781774106,0.14566652889781712,0.11402454848662513,0.1582675727371466,0.17550149463182066,0.1327098491911686,0.01322580955218707,3.177548707696152,21.281259527677122
136,2016-07-14,0.08513810642735145,0.09687738867027151,0.17582500542611526,0.22480159291868387,0.14544819711425036,0.12383810359633482,-0.08261944530947732,3.3702026064226334,18.77267002613972
137,2016-07-15,0.03737162750217575,-0.02758920800696259,0.10161009573542214,0.11718015665796337,0.017310704960835515,0.043437771975631013,-0.14471540469973887,3.349121061792863,16.381114012184508
138,2016-07-16,0.0026827921741831157,-0.04708257133984333,0.26509609744315243,0.10394741382284946,0.015354887685035094,0.029648735378351346,-0.15578741244263478,3.110771022393983,13.628032590317796
139,2016-07-17,0.01504442465977429,0.0529461998292057,0.29874448098551876,0.13012155459054814,0.05231934880171511,0.08851318204117226,-0.10703708414339447,3.454984828388175,13.534858095463052
140,2016-07-18,0.008978562881908613,0.13808536485116418,0.1639615282737959,0.08645177790159206,0.023145145821725836,0.09200515148470546,-0.09725436825808567,3.4444980499255595,16.813449850661748
141,2016-07-19,0.05266886460859364,0.14960536951763345,0.2548341098789315,-0.005612926078308641,0.019835971771886236,0.08951618030389724,-0.1244907041588331,3.3885271064367,20.33829178133202
